date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:10:29	59550/59550	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Dec%202022%2016:01:56%20GMT	https://doralcenter.com.ar/wp-content/cache/wpfc-minified/f5otb1qc/4bcx6.css	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/f5otb1qc/4bcx6.css	(from https://doralcenter.com.ar/)
19:10:29	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:10:28%20GMT	http://doralcenter.com.ar/wp-content/cache/wpfc-minified/7n83mq4w/4b9bk.js	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/7n83mq4w/4b9bk.js	(from https://doralcenter.com.ar/)
19:10:29	12031/12031	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Dec%202022%2015:59:40%20GMT	https://doralcenter.com.ar/wp-content/cache/wpfc-minified/7n83mq4w/4b9bk.js	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/7n83mq4w/4b9bk.js	(from https://doralcenter.com.ar/)
19:10:30	283/283	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:10:28%20GMT	http://doralcenter.com.ar/wp-content/cache/wpfc-minified/7z3rqhwv/4b9bk.js	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/7z3rqhwv/4b9bk.js	(from https://doralcenter.com.ar/)
19:10:30	100929/100929	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2005%20Dec%202022%2015:59:40%20GMT	https://doralcenter.com.ar/wp-content/cache/wpfc-minified/7z3rqhwv/4b9bk.js	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/cache/wpfc-minified/7z3rqhwv/4b9bk.js	(from https://doralcenter.com.ar/)
19:10:37	222338/222338	---MC-	200	added ('OK')	application/json	date:Wed,%2022%20Feb%202023%2022:10:29%20GMT	https://doralcenter.com.ar/wp-json/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-json/index.html	(from https://doralcenter.com.ar/)
19:10:38	59271/59271	---MC-	200	added ('OK')	application/json	date:Wed,%2022%20Feb%202023%2022:10:29%20GMT	https://doralcenter.com.ar/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-json/wp/v2/pages/8.json	(from https://doralcenter.com.ar/)
19:10:42	822/822	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Feb%202023%2022:10:37%20GMT	https://doralcenter.com.ar/xmlrpc.php?rsd	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/xmlrpc0db0.php	(from https://doralcenter.com.ar/)
19:10:42	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Fri,%2014%20Jan%202022%2013:25:31%20GMT	https://doralcenter.com.ar/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-includes/wlwmanifest.xml	(from https://doralcenter.com.ar/)
19:10:46	2318/2318	---MC-	200	added ('OK')	application/json	date:Wed,%2022%20Feb%202023%2022:10:40%20GMT	https://doralcenter.com.ar/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoralcenter.com.ar%2F	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-json/oembed/1.0/embeda714.json	(from https://doralcenter.com.ar/)
19:10:50	2392/2392	---MCZ	200	added ('OK')	text/xml	date:Wed,%2022%20Feb%202023%2022:10:44%20GMT	https://doralcenter.com.ar/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdoralcenter.com.ar%2F&format=xml	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-json/oembed/1.0/embed1381	(from https://doralcenter.com.ar/)
19:10:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2022%20Feb%202023%2022:10:49%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/dsadsa/www.googletagmanager.com/gtm.185445.delayed	(from https://doralcenter.com.ar/)
19:10:50	7027/7027	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Mar%202022%2020:07:23%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/03/Favicon-Sitio-01-150x150.png	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/03/Favicon-Sitio-01-150x150.png	(from https://doralcenter.com.ar/)
19:10:50	16956/16956	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Mar%202022%2020:07:22%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/03/Favicon-Sitio-01-300x300.png	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/03/Favicon-Sitio-01-300x300.png	(from https://doralcenter.com.ar/)
19:10:51	1547/1547	---M--	200	added ('OK')	image/png	date:Thu,%2024%20Mar%202022%2020:58:44%20GMT	https://doralcenter.com.ar/wp-content/uploads/2022/03/cropped-Logotipo-Sitio-01-1-1-148x26.png	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2022/03/cropped-Logotipo-Sitio-01-1-1-148x26.png	(from https://doralcenter.com.ar/)
19:10:51	301/301	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2022%20Feb%202023%2022:10:50%20GMT	http://doralcenter.com.ar/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.1c.delayed	(from https://doralcenter.com.ar/)
19:10:51	42/42	---M--	200	added ('OK')	image/gif	date:Sat,%2021%20Jan%202023%2002:42:54%20GMT	https://doralcenter.com.ar/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/plugins/a3-lazy-load/assets/images/lazy_placeholder.gif	(from https://doralcenter.com.ar/)
19:10:51	77034/77034	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2023:21:50%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/01/Doral0973-1024x683.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/01/Doral0973-1024x683.jpg	(from https://doralcenter.com.ar/)
19:10:52	96240/96240	---M--	200	added ('OK')	image/jpeg	date:Mon,%2023%20Jan%202023%2023:25:16%20GMT	https://doralcenter.com.ar/wp-content/uploads/2023/01/Doral1514-1024x683.jpg	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/wp-content/uploads/2023/01/Doral1514-1024x683.jpg	(from https://doralcenter.com.ar/)
19:10:52	169356/169356	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Feb%202023%2020:06:32%20GMT	https://doralcenter.com.ar/beauty-relax/	C:/My%20Web%20Sites/dsadsa/doralcenter.com.ar/beauty-relax/index.html	(from https://doralcenter.com.ar/)
